"","name","rflush","four","house","flush","straight","three","tpair","pair","high","win","equal","lost"
"113","K3o",5,63,1080,970,706,2230,11371,23281,10294,26896,1930,21174
"114","K2o",7,72,1099,1017,659,2237,11313,23234,10362,26618,2080,21302
"115","QJo",3,60,1114,965,3304,2136,11232,21905,9281,28227,1155,20618
"116","QTo",12,63,1144,1011,3567,2272,11302,21581,9048,28008,1235,20757
"117","Q9o",13,65,1054,947,2685,2197,11313,22255,9471,27066,1395,21539
"118","Q8o",17,70,1101,978,1945,2136,11389,22544,9820,26176,1603,22221
"119","Q7o",10,63,1101,955,1264,2239,11321,23094,9953,25405,1797,22798
"120","Q6o",9,59,1126,951,1327,2241,11454,22801,10032,25100,1943,22957
"121","Q5o",11,61,1077,971,1096,2184,11306,23161,10133,24535,2004,23461
"122","Q4o",5,70,1116,986,931,2127,11405,23039,10321,24428,2047,23525
"123","Q3o",4,66,1149,1072,938,2143,11311,23171,10146,24507,2050,23443
"124","Q2o",4,55,1093,984,822,2157,11267,23244,10374,24179,2127,23694
"125","JTo",7,62,1155,1032,4381,2096,11074,21495,8698,26325,1354,22321
"126","J9o",9,58,1114,963,3673,2136,11243,21677,9127,25331,1547,23122
"127","J8o",15,58,1191,953,2746,2230,11145,22233,9429,24501,1682,23817
"128","J7o",12,66,1129,1017,2043,2190,11237,22529,9777,23633,1818,24549
"129","J6o",9,80,1063,995,1310,2238,11278,22956,10071,22814,2059,25127
"130","J5o",9,58,1151,943,1269,2152,11451,23074,9893,22659,2139,25202
"131","J4o",9,50,1106,964,1167,2214,11424,22896,10170,22333,2223,25444
"132","J3o",13,71,1137,996,1088,2195,11344,23051,10105,22382,2203,25415
"133","J2o",11,67,1136,997,1044,2201,11208,23299,10037,22244,2271,25485
"134","T9o",12,58,1084,992,4481,2161,11200,21194,8818,24015,1624,24361
"135","T8o",13,44,1109,990,3626,2226,11117,21817,9058,23113,1844,25043
"136","T7o",12,65,1107,1003,2898,2217,11326,21900,9472,22327,1939,25734
"137","T6o",12,62,1123,975,2102,2155,11413,22380,9778,21404,2141,26455
"138","T5o",5,66,1113,975,1315,2226,11427,22954,9919,20611,2269,27120
"139","T4o",7,66,1153,923,1383,2220,11411,22892,9945,20379,2357,27264
"140","T3o",4,63,1028,1023,1309,2240,11388,23021,9924,20313,2362,27325
"141","T2o",8,58,1110,955,1134,2255,11464,22998,10018,20231,2329,27440
"142","98o",12,72,1112,1000,4271,2132,11067,21303,9031,21902,2017,26081
"143","97o",5,63,1107,961,3582,2133,11171,21663,9315,21089,2165,26746
"144","96o",12,65,1111,948,2735,2198,11275,22018,9638,20280,2296,27424
"145","95o",11,66,1110,957,1923,2245,11569,22374,9745,19535,2400,28065
"146","94o",13,64,1087,970,1232,2223,11282,23097,10032,18716,2453,28831
"147","93o",7,60,1103,1041,1163,2319,11302,23036,9969,18573,2542,28885
"148","92o",11,60,1081,996,1215,2204,11395,22910,10128,18562,2391,29047
"149","87o",13,65,1186,946,3982,2217,11048,21426,9117,20015,2345,27640
"150","86o",5,66,1113,998,3288,2199,11103,21807,9421,19281,2493,28226
"151","85o",7,65,1110,972,2432,2298,11197,22160,9759,18372,2563,29065
"152","84o",4,66,1160,997,1747,2248,11337,22516,9925,17640,2645,29715
"153","83o",9,67,1092,975,1204,2236,11386,22962,10069,16974,2602,30424
"154","82o",14,57,1111,965,1216,2158,11376,22996,10107,16791,2624,30585
"155","76o",14,61,1112,910,3710,2198,11175,21311,9509,18348,2586,29066
"156","75o",12,74,1093,982,3032,2209,11100,21914,9584,17501,2764,29735
"157","74o",11,60,1165,957,2201,2233,11293,22130,9950,16825,2806,30369
"158","73o",8,68,1166,1021,1610,2239,11394,22655,9839,16303,2735,30962
"159","72o",6,69,1128,997,1119,2186,11228,23219,10048,15708,2721,31571
"160","65o",15,52,1113,1007,3415,2140,11068,21521,9669,16840,2906,30254
"161","64o",9,78,1135,948,2661,2147,11133,21916,9973,16204,2936,30860
"162","63o",9,55,1160,968,2033,2195,11236,22379,9965,15620,2936,31444
"163","62o",9,60,1067,914,1522,2242,11356,22709,10121,15207,2853,31940
"164","54o",11,65,1082,1004,2435,2203,11148,21868,10184,15615,2975,31410
"165","53o",13,57,1125,938,1985,2202,11081,22344,10255,14891,3052,32057
"166","52o",2,62,1118,964,1415,2231,11214,22694,10300,14425,2900,32675
"167","43o",5,81,1146,922,1791,2257,11178,22260,10360,14668,3017,32315
"168","42o",5,56,1159,1001,1243,2219,11143,22919,10255,14182,2989,32829
"169","32o",4,61,1090,1018,1038,2160,11164,22991,10474,13777,3008,33215
