"","name","rflush","four","house","flush","straight","three","tpair","pair","high","win","equal","lost"
"30","K8s",8,119,2269,6547,1974,4439,22109,43665,18870,58513,2817,38670
"31","K7s",8,129,2279,6545,2181,4258,22297,43450,18853,58135,3277,38588
"32","K6s",3,131,2181,6548,1945,4394,22408,43678,18712,57547,3507,38946
"33","K5s",8,144,2278,6606,1710,4419,22127,43765,18943,56782,3734,39484
"34","K4s",8,139,2233,6441,1483,4386,22283,43868,19159,56116,3873,40011
"35","K3s",5,120,2227,6572,1304,4384,22407,43897,19084,56127,3732,40141
"36","K2s",10,130,2196,6495,1152,4381,22317,44189,19130,56176,3703,40121
"37","QJs",138,123,2212,6389,6293,4365,21846,41638,16996,58365,2267,39368
"38","QTs",140,134,2200,6383,6708,4261,21830,41522,16822,57772,2392,39836
"39","Q9s",102,121,2252,6521,5031,4259,22025,42091,17598,56085,2723,41192
"40","Q8s",56,123,2220,6589,3682,4348,21995,42789,18198,54839,2962,42199
"41","Q7s",9,141,2241,6664,2150,4322,22352,43474,18647,53307,3543,43150
"42","Q6s",6,122,2253,6672,2352,4369,22097,43368,18761,53114,3617,43269
"43","Q5s",11,115,2202,6599,2084,4332,22298,43606,18753,52190,3809,44001
"44","Q4s",6,122,2265,6532,1801,4415,22274,43709,18876,51715,3882,44403
"45","Q3s",10,142,2246,6483,1675,4287,22467,43657,19033,51564,3954,44482
"46","Q2s",7,130,2252,6563,1589,4414,22399,43678,18968,51480,4036,44484
"47","JTs",175,127,2277,6438,8425,4268,21689,40465,16136,55107,2659,42234
"48","J9s",150,139,2225,6397,6674,4349,21768,41329,16969,52958,2933,44109
"49","J8s",105,129,2209,6535,5324,4334,22045,42052,17267,51518,3356,45126
"50","J7s",53,126,2223,6501,3780,4194,22259,42976,17888,49823,3654,46523
"51","J6s",12,140,2164,6700,2354,4429,22262,43388,18551,48736,3957,47307
"52","J5s",8,115,2185,6648,2424,4333,22333,43189,18765,48092,3987,47921
"53","J4s",9,141,2245,6617,2226,4336,22245,43665,18516,47871,4102,48027
"54","J3s",8,115,2196,6494,1927,4432,22484,43720,18624,47551,4131,48318
"55","J2s",8,115,2204,6578,1870,4334,22299,43868,18724,47293,4202,48505
"56","T9s",199,125,2200,6403,8342,4272,21913,40370,16176,50904,3127,45969
"57","T8s",147,125,2281,6306,6896,4297,21747,41270,16931,48672,3498,47830
"58","T7s",115,146,2298,6479,5469,4265,22034,41933,17261,47793,3745,48462
"59","T6s",54,121,2191,6499,4117,4222,22180,42531,18085,45741,4081,50178
"60","T5s",11,127,2171,6570,2561,4341,22564,43190,18465,44284,4437,51279
"61","T4s",15,118,2263,6551,2569,4509,22071,43274,18630,44101,4434,51465
"62","T3s",13,118,2205,6636,2414,4268,22009,43888,18449,43483,4448,52069
"63","T2s",16,113,2254,6571,2195,4288,22466,43523,18574,43733,4458,51809
"64","98s",187,110,2232,6490,8144,4313,21606,40352,16566,47060,3745,49195
"65","97s",140,131,2279,6430,6601,4230,21836,41349,17004,44861,4111,51028
"66","96s",88,138,2230,6493,5297,4385,21950,41829,17590,43741,4449,51810
"67","95s",50,116,2185,6455,3726,4356,22117,42954,18041,41984,4602,53414
"68","94s",19,148,2224,6598,2272,4362,22110,43649,18618,40477,4734,54789
"69","93s",16,115,2215,6662,2365,4396,22205,43653,18373,40531,4699,54770
"70","92s",9,116,2266,6511,2214,4429,22298,43354,18803,39984,4750,55266
"71","87s",151,115,2150,6349,7694,4238,21904,40487,16912,42924,4422,52654
"72","86s",127,127,2179,6589,6148,4224,21925,41291,17390,41511,4615,53874
"73","85s",91,137,2236,6431,4712,4310,21714,42406,17963,39927,4993,55080
"74","84s",45,130,2268,6502,3414,4281,22170,43009,18181,38600,5007,56393
"75","83s",8,121,2241,6656,2145,4300,22075,43784,18670,37645,4961,57394
"76","82s",11,117,2334,6534,2171,4386,22115,43764,18568,37488,5044,57468
"77","76s",156,125,2335,6391,7057,4106,22019,40435,17376,39958,5046,54996
"78","75s",114,135,2260,6507,5525,4163,22017,41537,17742,38543,5146,56311
"79","74s",62,144,2162,6640,4266,4314,22160,42022,18230,37348,5296,57356
"80","73s",45,132,2278,6579,3085,4428,22082,42953,18418,36172,5230,58598
"81","72s",12,129,2247,6526,2125,4426,22277,43829,18429,35270,5381,59349
"82","65s",150,122,2239,6314,6310,4154,21698,40719,18294,37347,5386,57267
"83","64s",124,128,2221,6462,5023,4290,21973,41407,18372,35979,5453,58568
"84","63s",75,105,2166,6591,3880,4377,22090,42055,18661,34905,5553,59542
"85","62s",45,119,2250,6430,2851,4429,22236,42881,18759,33988,5484,60528
"86","54s",147,121,2229,6374,4875,4280,21741,41665,18568,34927,5700,59373
"87","53s",108,118,2258,6402,3627,4215,22118,42117,19037,33536,5715,60749
"88","52s",70,145,2312,6479,2656,4361,21840,42974,19163,32725,5785,61490
"89","43s",102,112,2230,6471,3361,4319,21830,42617,18958,33099,5608,61293
"90","42s",70,148,2277,6585,2296,4359,21713,43230,19322,31895,5759,62346
"91","32s",76,112,2175,6560,1985,4325,22024,43325,19418,31526,5658,62816
"92","AKo",8,133,2189,1973,2660,4339,22789,45636,20273,65957,1490,32553
"93","AQo",14,137,2251,1927,3094,4460,22611,45476,20030,65263,1640,33097
"94","AJo",14,118,2287,2025,3484,4339,22305,45769,19659,64840,1747,33413
"95","ATo",10,125,2274,1927,3890,4435,22828,44907,19604,63951,2186,33863
"96","A9o",15,123,2224,1868,1895,4501,22795,46358,20221,62429,2479,35092
"97","A8o",21,121,2274,2037,2078,4517,22726,45926,20300,61810,2812,35378
"98","A7o",16,119,2162,1987,1955,4452,22829,45808,20672,60646,3237,36117
"99","A6o",17,130,2273,1968,1729,4436,22572,46215,20660,60271,3395,36334
"100","A5o",10,138,2248,1946,1624,4480,22650,46106,20798,59516,3689,36795
"101","A4o",8,126,2223,1925,1422,4424,22618,46132,21122,59144,3699,37157
"102","A3o",12,115,2191,1909,1213,4363,22496,46723,20978,58732,3589,37679
"103","A2o",11,114,2254,1922,1027,4528,22741,46228,21175,58809,3774,37417
"104","KQo",13,112,2257,1918,4716,4442,22794,44504,19244,60713,1875,37412
"105","KJo",10,134,2193,2007,5164,4369,22550,44505,19068,60159,2097,37744
"106","KTo",20,129,2203,1951,5454,4441,22373,44644,18785,59757,2322,37921
"107","K9o",12,130,2209,1970,3534,4322,22732,45303,19788,57604,2743,39653
"108","K8o",7,139,2304,1955,2116,4517,22589,45844,20529,55999,2902,41099
"109","K7o",10,105,2221,1934,2332,4463,22803,45770,20362,55670,3326,41004
"110","K6o",16,127,2215,2065,2051,4454,22530,45847,20695,54694,3635,41671
"111","K5o",20,111,2238,2019,1793,4439,22679,45845,20856,53911,3945,42144
"112","K4o",11,140,2226,1992,1666,4390,22674,46229,20672,53548,4000,42452
"113","K3o",9,122,2243,1921,1466,4280,22725,46351,20883,53462,4063,42475
"114","K2o",14,133,2203,1979,1316,4333,22744,46425,20853,53455,3853,42692
"115","QJo",11,113,2249,1886,6936,4343,22435,43701,18326,56222,2309,41469
"116","QTo",17,130,2165,1938,7144,4340,22472,43745,18049,55526,2526,41948
"117","Q9o",14,127,2220,1984,5293,4427,22722,44435,18778,54089,2826,43085
"118","Q8o",11,117,2317,1939,3763,4503,22510,45275,19565,52351,3272,44377
"119","Q7o",13,125,2241,1965,2349,4350,22952,45518,20487,50620,3514,45866
"120","Q6o",14,129,2127,1956,2471,4508,22811,45589,20395,49972,3828,46200
"121","Q5o",16,122,2248,1981,2291,4490,22639,45874,20339,49211,4169,46620
"122","Q4o",15,104,2302,1918,1928,4544,22831,46079,20279,48786,4136,47078
"123","Q3o",13,109,2218,1944,1819,4471,22764,46247,20415,48821,4148,47031
"124","Q2o",12,132,2202,1933,1679,4454,22908,46212,20468,48611,4171,47218
"125","JTo",25,127,2212,1988,8933,4307,22240,42635,17533,52880,2642,44478
"126","J9o",15,108,2234,1922,7161,4314,22398,43814,18034,50948,3043,46009
"127","J8o",6,133,2267,2004,5602,4377,22591,44311,18709,49111,3384,47505
"128","J7o",19,129,2179,1890,4084,4439,22849,45069,19342,47432,3811,48757
"129","J6o",23,137,2257,1989,2555,4345,22690,45837,20167,45672,4124,50204
"130","J5o",23,127,2209,1970,2534,4392,22942,45619,20184,45240,4308,50452
"131","J4o",14,140,2303,1894,2266,4437,22917,45819,20210,44760,4385,50855
"132","J3o",14,129,2165,1968,2172,4476,22846,45941,20289,44490,4412,51098
"133","J2o",16,121,2239,1994,2060,4403,22769,46010,20388,44507,4421,51072
"134","T9o",26,112,2190,1970,8770,4393,22231,42842,17466,47887,3292,48821
"135","T8o",27,142,2274,1903,7185,4472,22480,43562,17955,46337,3695,49968
"136","T7o",18,137,2166,1988,5935,4276,22520,44112,18848,44754,3983,51263
"137","T6o",18,151,2214,1969,4199,4485,22800,44699,19465,42850,4281,52869
"138","T5o",17,123,2270,1984,2578,4531,22830,45650,20017,41180,4543,54277
"139","T4o",14,125,2092,1958,2664,4485,22825,45648,20189,40738,4658,54604
"140","T3o",21,121,2186,1942,2535,4507,22575,45948,20165,40447,4616,54937
"141","T2o",13,136,2233,2042,2325,4523,22702,46035,19991,40339,4620,55041
"142","98o",16,126,2237,1916,8447,4293,22296,42677,17992,43843,3929,52228
"143","97o",16,135,2128,1986,7012,4342,22525,43442,18414,41792,4302,53906
"144","96o",22,115,2224,1990,5413,4465,22523,44276,18972,40410,4726,54864
"145","95o",23,117,2188,1929,3968,4379,22618,45282,19496,38864,4836,56300
"146","94o",12,123,2178,1884,2439,4495,22878,45902,20089,37115,4946,57939
"147","93o",12,116,2274,1975,2555,4564,22748,45580,20176,37203,4868,57929
"148","92o",11,100,2241,1957,2366,4397,22877,45880,20171,36916,4947,58137
"149","87o",18,127,2265,1930,8009,4361,22143,42910,18237,40098,4460,55442
"150","86o",15,121,2278,1896,6622,4342,22476,43424,18826,38228,4924,56848
"151","85o",24,121,2262,1969,4921,4338,22595,44415,19355,36549,5131,58320
"152","84o",15,115,2242,2035,3573,4330,22574,45211,19905,35409,5171,59420
"153","83o",22,137,2169,1938,2393,4495,22954,45702,20190,34122,5371,60507
"154","82o",14,124,2200,1965,2394,4524,22683,45986,20110,33990,5166,60844
"155","76o",18,114,2180,1944,7567,4367,22163,42760,18887,36630,5220,58150
"156","75o",27,128,2139,1917,5902,4471,22450,43726,19240,34897,5487,59616
"157","74o",16,112,2221,1960,4479,4261,22723,44470,19758,33708,5654,60638
"158","73o",15,143,2182,1907,3291,4410,22865,45262,19925,32387,5491,62122
"159","72o",20,117,2254,2000,2200,4534,23026,45943,19906,31686,5683,62631
"160","65o",16,138,2268,1924,6616,4311,22544,42495,19688,33787,5746,60467
"161","64o",27,111,2200,1972,5148,4466,22411,43579,20086,32442,5798,61760
"162","63o",22,160,2145,2034,4009,4445,22350,44543,20292,31104,5835,63061
"163","62o",14,132,2208,1967,2988,4504,22694,45196,20297,30008,5893,64099
"164","54o",20,129,2268,1944,5066,4323,22309,43657,20284,30985,5989,63026
"165","53o",16,140,2316,1932,3683,4419,22489,44432,20573,29849,6046,64105
"166","52o",12,132,2170,1925,2793,4430,22549,45423,20566,28783,6112,65105
"167","43o",19,136,2191,1943,3427,4334,22271,44964,20715,28918,6039,65043
"168","42o",12,139,2227,1962,2454,4341,22439,45637,20789,27889,5941,66170
"169","32o",11,121,2124,1889,2029,4459,22538,45897,20932,27449,6024,66527
