"","name","rflush","four","house","flush","straight","three","tpair","pair","high","win","equal","lost"
"1","AAp",11,836,8713,1912,925,11906,39576,36121,0,85953,474,13573
"2","KKp",9,815,8794,1979,1144,11702,39309,36248,0,80605,437,18958
"3","QQp",15,825,8625,1965,1523,11742,39443,35862,0,75987,535,23478
"4","JJp",19,842,8576,1881,1950,11646,39693,35393,0,71956,511,27533
"5","TTp",31,809,8516,1971,2323,11787,39268,35295,0,68589,614,30797
"6","99p",29,859,8429,2007,2311,11743,39424,35198,0,65541,583,33876
"7","88p",21,861,8593,2012,2272,11595,39466,35180,0,62890,584,36526
"8","77p",17,818,8539,1949,2140,11728,39718,35091,0,60415,566,39019
"9","66p",11,826,8388,1932,2335,11923,39510,35075,0,58351,631,41018
"10","55p",9,845,8555,1914,2064,11582,39416,35615,0,56242,624,43134
"11","44p",17,835,8651,1846,1744,11404,39696,35807,0,54250,653,45097
"12","33p",16,821,8556,2067,1258,11756,39646,35880,0,52256,689,47055
"13","22p",7,850,8411,1960,882,11701,39968,36221,0,50502,693,48805
"14","AKs",52,108,2313,6459,2458,4349,22032,43484,18745,67212,1477,31311
"15","AQs",39,143,2142,6505,2846,4316,21958,43498,18553,66849,1563,31588
"16","AJs",52,128,2302,6376,3198,4342,22387,43258,17957,66421,1750,31829
"17","ATs",62,133,2220,6544,3600,4227,22164,42942,18108,65967,2081,31952
"18","A9s",3,117,2228,6665,1746,4401,22262,43775,18803,64671,2463,32866
"19","A8s",6,113,2169,6483,1969,4387,22525,43665,18683,63498,2668,33834
"20","A7s",6,108,2160,6486,1807,4386,22161,43984,18902,62733,3007,34260
"21","A6s",7,130,2261,6551,1621,4253,22231,43800,19146,62183,3322,34495
"22","A5s",30,126,2263,6578,1506,4349,22019,43838,19291,61688,3506,34806
"23","A4s",45,117,2219,6567,1265,4178,22144,44082,19383,61401,3490,35109
"24","A3s",30,139,2185,6531,1125,4308,22176,44112,19394,61194,3674,35132
"25","A2s",36,116,2217,6453,984,4362,22031,44483,19318,61265,3605,35130
"26","KQs",100,130,2200,6372,4418,4366,22138,42605,17671,62651,1788,35561
"27","KJs",103,132,2163,6397,4793,4301,22002,42449,17660,62082,2031,35887
"28","KTs",91,113,2225,6552,5179,4413,22033,41963,17431,61573,2265,36162
"29","K9s",41,101,2250,6591,3286,4385,22003,43012,18331,60015,2571,37414
